epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,34443.7,0.6091,0.30179,0.76782,0.87573,0.78508,0.83539,0.65404,0.59528,0.31173,0.74897,1.75796e-05,1.75796e-05,1.75796e-05
40,35273.3,0.60771,0.3015,0.76855,0.87929,0.77962,0.8346,0.65078,0.60124,0.31358,0.74888,1.61738e-05,1.61738e-05,1.61738e-05
41,35624.6,0.63653,0.3158,0.75837,0.88123,0.78105,0.83214,0.64776,0.5952,0.31352,0.74901,1.4768e-05,1.4768e-05,1.4768e-05
42,35965.9,0.63316,0.31019,0.75672,0.87486,0.77877,0.83138,0.64709,0.60124,0.31844,0.74919,1.33622e-05,1.33622e-05,1.33622e-05
43,36322.1,0.63312,0.3072,0.75738,0.87954,0.78013,0.83131,0.64932,0.59264,0.31316,0.74917,1.19564e-05,1.19564e-05,1.19564e-05
44,36717.4,0.62378,0.30363,0.7566,0.8883,0.7782,0.8306,0.64466,0.61172,0.31784,0.74919,1.05506e-05,1.05506e-05,1.05506e-05
45,37084.1,0.62628,0.30357,0.75694,0.88619,0.78212,0.83149,0.64852,0.60336,0.31784,0.74914,9.1448e-06,9.1448e-06,9.1448e-06
46,37448,0.62308,0.30188,0.75782,0.87753,0.78614,0.83346,0.64778,0.59954,0.313,0.74888,7.739e-06,7.739e-06,7.739e-06
47,37805.8,0.6266,0.30297,0.7575,0.87715,0.78489,0.83364,0.64945,0.59816,0.31379,0.74883,6.3332e-06,6.3332e-06,6.3332e-06
48,38195.8,0.62381,0.30282,0.75633,0.87552,0.78576,0.83346,0.6528,0.58998,0.31036,0.74893,4.9274e-06,4.9274e-06,4.9274e-06
49,38551.3,0.62644,0.30323,0.7556,0.88035,0.78526,0.83456,0.65065,0.59649,0.31125,0.74889,3.5216e-06,3.5216e-06,3.5216e-06
50,39413.5,0.61856,0.2999,0.75767,0.8806,0.7864,0.83474,0.64985,0.59664,0.31218,0.74885,2.1158e-06,2.1158e-06,2.1158e-06
